"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"HVICBUS","199007","2.617","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199008","2.34","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199009","1.902","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199010","2.064","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199011","2.226","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199012","2.677","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199013","30.947","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199101","2.761","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199102","2.367","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199103","2.78","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199104","2.765","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199105","3.049","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199106","2.764","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199107","2.618","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199108","2.337","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199109","1.986","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199110","1.902","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199111","1.989","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199112","2.358","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199113","29.675","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
